asset,total_return,return_per_day,Annualized_return,excess_return ( rf = 0.03)
BTC-USD,1.847123699085471,0.001861213766577663,0.6036926863160965,0.5736926863160965
ETH-USD,5.463391608209382,0.005158927647539446,2.69506873630014,2.66506873630014
BNB-USD,15.655683057895104,0.008370700588480107,7.3087450696233205,7.27874506962332
