asset,BTC-USD,ETH-USD,BNB-USD
2020-01-01,0.0009140341575637478,0.009190178165583207,-0.002808855285874934
2020-01-02,-0.029819292162590716,-0.025930970201487602,-0.04836497644844895
2020-01-03,0.05145166344511276,0.053068978168561154,0.04862519693720513
2020-01-04,0.008954866877941559,0.0066903769863495555,0.016914523029914363
2020-01-05,8.914790612779555e-05,0.008939204731726713,0.01580153540643736
2020-01-06,0.04829126010697582,0.05890493095145177,0.06000901836356176
2020-01-07,0.050773846435889336,-0.005267778753292318,0.003439150166936633
2020-01-08,-0.010268587535248286,-0.015924443349786155,-0.02707102699973607
2020-01-09,-0.024850855645838776,-0.016133093484380745,-0.007164312369818626
2020-01-10,0.03648690303834745,0.03586560638444225,0.03638440675611454
2020-01-11,-0.015798168776598898,-0.007200886928300676,-0.005290776601083458
2020-01-12,0.019279106453440997,0.0206176641057616,0.02514030910850007
2020-01-13,-0.005895616628883604,-0.01129289411687917,-0.006187894725933396
2020-01-14,0.08393344808628167,0.15065709666300386,0.09186474663417288
2020-01-15,-0.002350980919464507,0.0016590582058744197,0.061871936689245066
2020-01-16,-0.009449813541879348,-0.01106700566380281,-0.032731337223912305
2020-01-17,0.02352785247141642,0.038864331269726105,0.06196964718239362
2020-01-18,0.0015422162701026476,0.02685165206055795,-0.0171643721063387
2020-01-19,-0.026452928527155417,-0.047876120324395366,-0.02550876326008711
2020-01-20,-0.005582491465413786,0.0009023502412968121,-0.002531930246238656
2020-01-21,0.010193531591149663,0.01541788519604359,0.04631332159181212
2020-01-22,-0.007434180055016837,-0.008267668638293424,-0.018165915027570145
2020-01-23,-0.03160514587505292,-0.03188227458323378,-0.0436532648082022
2020-01-24,0.004629616722148233,0.0007525975197246737,0.0015277700272453565
2020-01-25,-0.00918684685986848,-0.01083857506306074,-0.004182595355073593
2020-01-26,0.027364554337216074,0.04211930401638453,0.02724572430648653
2020-01-27,0.036407519395889265,0.016979054481661038,0.014491298461554614
2020-01-28,0.05036808165148732,0.03182234945202822,0.023954870528986483
2020-01-29,-0.004483577295090302,-0.007484121137455557,-0.011170672683096683
2020-01-30,0.02064730312029206,0.05507065446349446,0.037829499031779346
2020-01-31,-0.016664631518128026,-0.02452916937757532,-0.020409926285005597
2020-02-01,0.00452869583961979,0.019503637552609865,0.0004031296011917096
2020-02-02,-0.0051645279666768795,0.026915021164291897,0.01261719575692033
2020-02-03,-0.005441113304621492,0.006614061907548319,0.0007897923959503395
2020-02-04,-0.012111511652417528,-0.00323635857181348,-0.015457549178955254
2020-02-05,0.047104093835473426,0.07915243155799523,0.057086569763934
2020-02-06,0.012105773319493585,0.03970440884570903,0.07182977937746049
2020-02-07,0.006797836503646293,0.04891694034731886,0.0712297421458663
2020-02-08,0.007061676319697785,0.0018877716176568526,-0.012684040091028081
2020-02-09,0.02549940694219166,0.02434298655714895,0.11597160520236804
2020-02-10,-0.025706324471686526,-0.02211870728715548,0.0374252423774708
2020-02-11,0.03567402510806805,0.055155431331365135,0.016618412514011194
2020-02-12,0.011541499979814906,0.12531177329455678,0.032349572956889894
2020-02-13,-0.010814856987217514,0.010147147902660691,-0.03879064637697072
2020-02-14,0.009568503349817403,0.060120481598565645,0.03368144058838474
2020-02-15,-0.0409897830477971,-0.06857045116097638,-0.08165614723242898
2020-02-16,0.004551203932625647,-0.018259692118138604,-0.028292826401435822
2020-02-17,-0.024590331529186438,0.02488976929932618,0.0036217565816092367
2020-02-18,0.0466302236506857,0.05849581534422277,0.021518897641302548
2020-02-19,-0.05014884351152826,-0.07867008126631714,-0.0716873322321776
2020-02-20,-0.0025859164113087862,-0.006985241682689214,-0.004672995369791488
2020-02-21,0.008114275736580634,0.029661444062387243,-0.0019915096990641423
2020-02-22,-0.002401270461409255,-0.012307540639357906,-0.009754227076762545
2020-02-23,0.02704430011708836,0.04354190965516169,0.03916473364600259
2020-02-24,-0.027642741538078885,-0.031187544424001845,-0.034375080155633286
2020-02-25,-0.031965195740564556,-0.06560239946277657,-0.07719318525653229
2020-02-26,-0.05579095174048332,-0.08932912521133274,-0.07586781559997346
2020-02-27,-0.0040846016176541156,0.0047550462867866905,0.01720487666645809
2020-02-28,-0.012754184897438958,3.135827774425337e-05,-0.014000771813891366
2020-02-29,-0.008411261679117432,-0.030481443479889903,0.03867727696448231
2020-03-01,-0.0043089307085921735,-0.003993269846346403,-0.031702218918659875
2020-03-02,0.03587941221856461,0.05297141408109862,0.04486745633132316
2020-03-03,-0.009231886844013548,-0.026413474337024234,-0.008926697750425538
2020-03-04,-0.0037028710724991143,0.00017081878207236834,0.016397386713843165
2020-03-05,0.03695117168590434,0.02115738673549905,0.04222827514680061
2020-03-06,0.004822595830994203,0.06218529788383864,0.02338034458207705
2020-03-07,-0.02330399860322019,-0.023292079775564356,-0.05208575708431151
2020-03-08,-0.08999349283790192,-0.15624784288366522,-0.15884887435189632
2020-03-09,-0.022751484424786028,0.006464088036532978,-0.02376108500231311
2020-03-10,-0.0017561412564156553,-0.0060354861869905685,0.01840054181464157
2020-03-11,0.00021501160000858555,-0.029380849618490856,-0.02078855947131142
2020-03-12,-0.37169538560117077,-0.42347221465293294,-0.4190461152486469
2020-03-13,0.11928067241286833,0.18562727860573336,0.12842392949925818
2020-03-14,-0.06530552710121185,-0.07429170741922175,-0.06393475152131067
2020-03-15,0.036910617960911996,0.015475962795865161,0.029147568553124614
2020-03-16,-0.07006915676163483,-0.1166674150987117,-0.1006099995997426
2020-03-17,0.04210793838741411,0.030169066268947553,0.07363320028770604
